YJL090C	S000003626
YJL089W	S000003625
YJL088W	S000003624
YJL087C	S000003623
YJL085W	S000003621
YJL086C	S000003622
YJL084C	S000003620
YJL083W	S000003619
YJL082W	S000003618
YJL081C	S000003617
YJL080C	S000003616
YJL079C	S000003615
YJL078C	S000003614
YJL077W-B	S000028662
YJL077W-A	S000028661
YJL077C	S000003613
YJL076W	S000003612
YJL075C	S000003611
YJL074C	S000003610
YJL073W	S000003609
YJL072C	S000003608
YJL071W	S000003607
YJL070C	S000003606
YJL069C	S000003605
YJL068C	S000003604
YJL067W	S000003603
YJL066C	S000003602
YJL064W	S000003600
YJL065C	S000003601
YJL063C	S000003599
YJL062W-A	S000007611
YJL062W	S000003598
YJL061W	S000003597
YJL060W	S000003596
YJL059W	S000003595
YJL058C	S000003594
YJL057C	S000003593
YJL056C	S000003592
YJL055W	S000003591
YJL054W	S000003590
YJL053W	S000003589
YJL052C-A	S000007610
YJL052W	S000003588
YJL051W	S000003587
YJL050W	S000003586
YJL049W	S000003585
YJL048C	S000003584
YJL047C-A	S000028804
YJL047C	S000003583
YJL046W	S000003582
tY(GUA)J1	S000006781
YJLCdelta5	S000007024
YJLCdelta4	S000007023
YJL045W	S000003581
YJL044C	S000003580
YJL043W	S000003579
YJL042W	S000003578
YJL041W	S000003577
YJL039C	S000003576
YJLCdelta6	S000007025
YJL038C	S000003575
YJL037W	S000003574
YJLCdelta7	S000007026
YJL036W	S000003573
YJL035C	S000003572
YJL034W	S000003571
YJL033W	S000003570
YJL032W	S000003569
YJL031C	S000003568
YJL030W	S000003567
YJL029C	S000003566
YJL028W	S000003565
YJL027C	S000003564
YJL026W	S000003563
YJL026C-A	S000028660
YJL025W	S000003562
YJL024C	S000003561
YJL022W	S000003559
YJL023C	S000003560
YJL020W-A	S000028659
YJL020C	S000003557
YJL019W	S000003556
YJL016W	S000003553
YJL015C	S000003552
YJL014W	S000003551
YJL013C	S000003550
YJL012C	S000003549
YJL011C	S000003548
YJRWtau3	S000007047
YJLWdelta8	S000007029
YJLWdelta9	S000007030
YJL010C	S000003547
YJL009W	S000003546
YJL008C	S000003545
YJLWtau4	S000007038
YJLWdelta10	S000007031
YJL007C	S000003544
YJL006C	S000003543
YJL005W	S000003542
YJL004C	S000003541
YJL003W	S000003540
YJL002C	S000003539
YJL001W	S000003538
YJR001W	S000003761
YJR002W	S000003762
YJR003C	S000003763
YJR004C	S000003764
YJR005W	S000003765
YJR005C-A	S000028523
YJR006W	S000003766
YJR007W	S000003767
YJR008W	S000003768
YJR009C	S000003769
YJR010W	S000003771
YJR010C-A	S000003770
YJR011C	S000003772
YJR013W	S000003774
YJR012C	S000003773
YJR014W	S000003775
YJR015W	S000003776
YJR016C	S000003777
YJR018W	S000003779
YJR017C	S000003778
YJR020W	S000003781
YJR019C	S000003780
YJR021C	S000003782
YJR022W	S000003783
YJR023C	S000003784
YJR024C	S000003785
YJR025C	S000003786
YJRWTy1-1	S000007048
YJRWdelta11	S000007040
YJR026W	S000003787
YJR027W	S000003788
YJRWTy1-2	S000007049
YJRWdelta12	S000007041
YJR029W	S000003790
YJR028W	S000003789
YJRWdelta13	S000007042
YJR030C	S000003791
YJR031C	S000003792
YJR032W	S000003793
YJR033C	S000003794
YJR034W	S000003795
YJR035W	S000003796
YJR037W	S000003798
YJR036C	S000003797
YJR039W	S000003800
YJR038C	S000003799
YJR040W	S000003801
YJR041C	S000003802
YJR042W	S000003803
YJR043C	S000003804
YJRWdelta14	S000007043
YJR044C	S000003805
YJR045C	S000003806
YJR046W	S000003807
YJR047C	S000003808
YJR048W	S000003809
YJR049C	S000003810
YJR050W	S000003811
YJR051W	S000003812
YJRCdelta15	S000007032
YJR052W	S000003813
YJR053W	S000003814
YJR054W	S000003815
YJRCdelta16	S000007033
YJRWdelta17	S000007044
YJR055W	S000003816
YJRWdelta18	S000007045
YJRCdelta19	S000007034
YJR056C	S000003817
tY(GUA)J2	S000006782
YJRWdelta20	S000007046
YJR057W	S000003818
YJR058C	S000003819
YJR059W	S000003820
YJR060W	S000003821
YJR061W	S000003822
YJR062C	S000003823
YJR063W	S000003824
YJR064W	S000003825
YJR065C	S000003826
YJR066W	S000003827
YJR067C	S000003828
YJR068W	S000003829
YJR069C	S000003830
YJR071W	S000003832
YJR070C	S000003831
YJR072C	S000003833
YJR073C	S000003834
YJR074W	S000003835
YJR075W	S000003836
YJR076C	S000003837
YJR077C	S000003838
YJR078W	S000003839
YJR079W	S000003840
YJR080C	S000003841
YJR082C	S000003842
YJR083C	S000003843
YJR084W	S000003844
YJR085C	S000003845
YJR086W	S000003846
YJR087W	S000003847
YJR088C	S000003848
YJR089W	S000003849
YJR090C	S000003850
YJR091C	S000003851
YJR092W	S000003852
YJR093C	S000003853
YJR094C	S000003854
YJR094W-A	S000003855
YJR095W	S000003856
YJR096W	S000003857
YJR097W	S000003858
YJR098C	S000003859
YJR099W	S000003860
YJR100C	S000003861
YJR101W	S000003862
YJR102C	S000003863
YJR103W	S000003864
YJR104C	S000003865
YJR105W	S000003866
YJR106W	S000003867
YJR107W	S000003868
YJR108W	S000003869
YJR109C	S000003870
YJR110W	S000003871
YJR111C	S000003872
YJR112W	S000003873
YJR112W-A	S000028513
YJR114W	S000003875
YJR113C	S000003874
YJR115W	S000003876
YJR116W	S000003877
YJR117W	S000003878
YJR118C	S000003879
YJR119C	S000003880
YJR120W	S000003881
YJR121W	S000003882
YJR122W	S000003883
YJR123W	S000003884
YJR124C	S000003885
YJR125C	S000003886
YJR126C	S000003887
YJR128W	S000003889
YJR127C	S000003888
YJR129C	S000003890
YJR130C	S000003891
YJR131W	S000003892
YJR132W	S000003893
YJR133W	S000003894
YJR134C	S000003895
YJR135C	S000003896
YJR135W-A	S000007348
YJR136C	S000003897
YJR137C	S000003898
YJR138W	S000003899
YJR139C	S000003900
YJR140W-A	S000028666
YJR140C	S000003901
YJR141W	S000003902
YJR142W	S000003903
YJR143C	S000003904
YJR144W	S000003905
YJR145C	S000003906
YJR146W	S000003907
YJR147W	S000003908
YJR148W	S000003909
YJR149W	S000003910
YJR150C	S000003911
YJR151C	S000003912
YJR151W-A	S000028557
YJR152W	S000003913
YJR153W	S000003914
YJR154W	S000003915
YJR155W	S000003916
YJR156C	S000003917
YJR157W	S000003918
YJR158W	S000003919
YJR159W	S000003920
YJR160C	S000003921
YJR161C	S000003922
YJR162C	S000003923
YKL225W	S000001708
YKL224C	S000001707
YKL223W	S000001706
YKL222C	S000001705
YKL221W	S000001704
YKL220C	S000001703
YKL219W	S000001702
YKL218C	S000001701
YKL217W	S000001700
YKL216W	S000001699
YKL215C	S000001698
YKL214C	S000001697
YKL213C	S000001696
YKL212W	S000001695
YKL211C	S000001694
YKL210W	S000001693
YKL209C	S000001692
YKL208W	S000001691
YKL207W	S000001690
YKL206C	S000001689
YKL205W	S000001688
YKL204W	S000001687
YKL203C	S000001686
YKL202W	S000001685
YKL201C	S000001684
YKL198C	S000001681
YKL197C	S000001680
YKLWdelta1	S000007055
YKL196C	S000001679
YKL195W	S000001678
YKL194C	S000001677
YKL193C	S000001676
YKL192C	S000001675
YKL191W	S000001674
YKL190W	S000001673
YKLCdelta2	S000007050
YKL189W	S000001672
YKL188C	S000001671
YKL187C	S000001670
YKL186C	S000001669
YKL185W	S000001668
YKL184W	S000001667
YKL183C-A	S000028558
YKL183W	S000001666
YKL182W	S000001665
YKL181W	S000001664
YKL180W	S000001663
YKL179C	S000001662
YKL177W	S000001660
YKL178C	S000001661
YKL176C	S000001659
YKL175W	S000001658
YKL174C	S000001657
YKL173W	S000001656
YKL172W	S000001655
YKL171W	S000001654
YKL170W	S000001653
YKL169C	S000001652
YKL168C	S000001651
YKL167C	S000001650
YKL166C	S000001649
YKL165C-A	S000007617
YKL165C	S000001648
YKL164C	S000001647
YKL163W	S000001646
YKL162C-A	S000007244
YKL162C	S000001645
YKL161C	S000001644
YKL160W	S000001643
YKL159C	S000001642
YKL157W	S000001640
YKL156W	S000001639
YKL156C-A	S000028668
YKL155C	S000001638
YKL154W	S000001637
YKLWdelta3	S000007056
YKL153W	S000001636
YKL152C	S000001635
YKL151C	S000001634
YKL150W	S000001633
YKL149C	S000001632
YKL148C	S000001631
YKL146W	S000001629
YKL147C	S000001630
YKL145W	S000001628
YKL145W-A	S000028841
YKL144C	S000001627
YKL143W	S000001626
YKL142W	S000001625
YKL141W	S000001624
YKL140W	S000001623
YKL139W	S000001622
YKL138C-A	S000028421
YKL138C	S000001621
YKL137W	S000001620
YKL136W	S000001619
YKL135C	S000001618
YKL134C	S000001617
YKL133C	S000001616
YKL131W	S000001614
YKL132C	S000001615
YKL130C	S000001613
YKL129C	S000001612
YKL128C	S000001611
YKLCsigma1	S000007054
YKL127W	S000001610
YKL126W	S000001609
YKL125W	S000001608
YKL124W	S000001607
YKL123W	S000001606
YKL122C	S000001605
YKL121W	S000001604
YKL120W	S000001603
YKL118W	S000001601
YKL119C	S000001602
